City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
329,Peniche,PT,39.3558,-9.3811,54.0,92,2,4.0,clear sky
330,Mandan,US,46.8267,-100.8896,55.4,28,1,12.66,clear sky
331,Marzuq,YE,14.4,46.4667,65.48,42,27,0.34,scattered clouds
332,Piacabucu,BR,-10.4056,-36.4344,77.68,80,13,8.01,few clouds
333,Gizo,SB,-8.103,156.8419,84.22,73,100,4.36,light rain
334,Micomeseng,GQ,2.1462,10.6164,70.32,98,100,1.86,overcast clouds
335,Pinega,RU,64.7001,43.3936,35.94,93,100,9.57,overcast clouds
336,Prichard,US,30.7388,-88.0789,66.0,82,1,4.61,clear sky
337,Manadhoo,MV,5.7667,73.3833,82.92,69,100,10.6,overcast clouds
338,Chuy,UY,-33.6971,-53.4616,69.03,88,73,9.91,broken clouds
339,Jalu,LY,29.0331,21.5482,72.21,6,0,14.85,clear sky
340,Gat,IL,31.61,34.7642,72.0,22,24,4.0,few clouds
341,Dalbandin,PK,28.8947,64.4101,67.78,13,86,7.0,overcast clouds
342,Bozoum,CF,6.3193,16.3799,75.56,49,97,3.2,overcast clouds
343,Kuliyapitiya,LK,7.4688,80.0401,80.6,89,40,2.3,scattered clouds
344,Brejo,BR,-3.6844,-42.7503,73.98,90,100,2.98,overcast clouds
345,Batemans Bay,AU,-35.7167,150.1833,71.01,90,100,2.15,overcast clouds
346,Walvis Bay,NA,-22.9575,14.5053,59.0,94,11,4.61,few clouds
